Timestamp,N,P,K,pH,Moisture,Fertile,Timestamp_Display,Predicted_Fertility,Predicted_Fertility_Label,RAG_Issues,RAG_Recommendations,Final_Assessment
2026-01-01 00:00:00,17,45,49,6.79,73,0,"Jan 01, 00:00",0,Not Fertile,Nitrogen (N) is LOW (17/50); Phosphorus (P) is HIGH (45/15); Moisture is HIGH (73/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 01:00:00,33,19,51,7.31,39,1,"Jan 01, 01:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 02:00:00,52,35,31,7.24,52,0,"Jan 01, 02:00",0,Not Fertile,Nitrogen (N) is HIGH (52/20),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 03:00:00,36,30,57,6.47,48,1,"Jan 01, 03:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 04:00:00,42,36,62,6.01,33,0,"Jan 01, 04:00",0,Not Fertile,Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 05:00:00,49,13,22,6.7,77,0,"Jan 01, 05:00",0,Not Fertile,Phosphorus (P) is LOW (13/40); Potassium (K) is LOW (22/60); Moisture is HIGH (77/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 06:00:00,42,36,52,6.75,61,1,"Jan 01, 06:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 07:00:00,29,17,61,7.41,41,0,"Jan 01, 07:00",0,Not Fertile,Potassium (K) is HIGH (61/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 08:00:00,26,14,62,7.12,35,0,"Jan 01, 08:00",0,Not Fertile,Phosphorus (P) is LOW (14/40); Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 09:00:00,34,26,56,6.28,77,0,"Jan 01, 09:00",0,Not Fertile,Moisture is HIGH (77/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
2026-01-01 10:00:00,15,16,55,7.46,72,0,"Jan 01, 10:00",0,Not Fertile,Nitrogen (N) is LOW (15/50); Moisture is HIGH (72/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-01 11:00:00,25,15,62,6.44,30,0,"Jan 01, 11:00",0,Not Fertile,Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 12:00:00,30,22,38,6.58,55,1,"Jan 01, 12:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 13:00:00,51,35,52,6.78,70,0,"Jan 01, 13:00",0,Not Fertile,Nitrogen (N) is HIGH (51/20),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 14:00:00,55,32,48,7.8,61,0,"Jan 01, 14:00",0,Not Fertile,Nitrogen (N) is HIGH (55/20); pH is HIGH (7.8/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-01 15:00:00,46,40,22,5.85,47,0,"Jan 01, 15:00",0,Not Fertile,Potassium (K) is LOW (22/60); pH is LOW (5.85/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-01 16:00:00,22,26,65,6.66,45,0,"Jan 01, 16:00",0,Not Fertile,Potassium (K) is HIGH (65/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 17:00:00,29,17,38,7.22,40,1,"Jan 01, 17:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
